[2024-01-01T14:30:37.241+0300][info][gc] Using The Z Garbage Collector
[2024-01-01T14:32:06.366+0300][info][gc] GC(136) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.466+0300][info][gc] GC(137) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.567+0300][info][gc] GC(138) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.666+0300][info][gc] GC(139) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:06.865+0300][info][gc] GC(140) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:06.966+0300][info][gc] GC(141) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.066+0300][info][gc] GC(142) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.166+0300][info][gc] GC(143) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.266+0300][info][gc] GC(144) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.366+0300][info][gc] GC(145) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.466+0300][info][gc] GC(146) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.567+0300][info][gc] GC(147) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.867+0300][info][gc] GC(148) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:07.966+0300][info][gc] GC(149) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.066+0300][info][gc] GC(150) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.166+0300][info][gc] GC(151) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.266+0300][info][gc] GC(152) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.366+0300][info][gc] GC(153) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.466+0300][info][gc] GC(154) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.566+0300][info][gc] GC(155) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.666+0300][info][gc] GC(156) Garbage Collection (Allocation Rate) 12M(75%)->10M(62%)
[2024-01-01T14:32:08.866+0300][info][gc] GC(157) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:08.967+0300][info][gc] GC(158) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.065+0300][info][gc] GC(159) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:32:09.166+0300][info][gc] GC(160) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
